央视频道,#genre#
CCTV-1高清,http://192.168.5.1:1001/rtp/235.254.196.154:8880
CCTV-1高清,http://192.168.5.1:1001/rtp/235.254.199.51:7980
CCTV-2高清,http://192.168.5.1:1001/rtp/235.254.199.52:7980
CCTV-3高清,http://192.168.5.1:1001/rtp/235.254.199.53:7980
CCTV-4高清,http://192.168.5.1:1001/rtp/235.254.199.183:7980
CCTV-5高清,http://192.168.5.1:1001/rtp/235.254.199.54:7980
CCTV-5+高清,http://192.168.5.1:1001/rtp/235.254.199.121:7980
CCTV-6高清,http://192.168.5.1:1001/rtp/235.254.199.55:7980
CCTV-7高清,http://192.168.5.1:1001/rtp/235.254.199.56:7980
CCTV-8高清,http://192.168.5.1:1001/rtp/235.254.199.57:7980
CCTV-9高清,http://192.168.5.1:1001/rtp/235.254.199.58:7980
CCTV-10高清,http://192.168.5.1:1001/rtp/235.254.199.59:7980
CCTV-11,http://192.168.5.1:1001/rtp/235.254.199.7:7980
CCTV-12高清,http://192.168.5.1:1001/rtp/235.254.199.60:7980
CCTV-13,http://192.168.5.1:1001/rtp/235.254.199.9:7980
CCTV-少儿高清,http://192.168.5.1:1001/rtp/235.254.199.61:7980
CCTV-15,http://192.168.5.1:1001/rtp/235.254.199.11:7980
CCTV-17高清,http://192.168.5.1:1001/rtp/235.254.199.130:7980
少儿动画,http://192.168.5.1:1001/rtp/235.254.199.116:7980

卫视频道,#genre#
重庆卫视高清,http://192.168.5.1:1001/rtp/235.254.197.237:7980
深圳卫视高清,http://192.168.5.1:1001/rtp/235.254.199.71:7980
深圳卫视高清,http://192.168.5.1:1001/rtp/235.254.196.202:1080
纪实频道高清,http://192.168.5.1:1001/rtp/235.254.196.248:1264
湖北卫视高清,http://192.168.5.1:1001/rtp/235.254.199.72:7980
湖北卫视高清,http://192.168.5.1:1001/rtp/235.254.196.228:1184
山东卫视高清,http://192.168.5.1:1001/rtp/235.254.196.227:1180
山东卫视高清,http://192.168.5.1:1001/rtp/235.254.199.69:7980
黑龙江卫视高清,http://192.168.5.1:1001/rtp/235.254.199.70:7980
黑龙江卫视高清,http://192.168.5.1:1001/rtp/235.254.196.203:1084
湖南卫视高清,http://192.168.5.1:1001/rtp/235.254.199.62:7980
湖南卫视高清,http://192.168.5.1:1001/rtp/235.254.196.158:8904
广东卫视高清,http://192.168.5.1:1001/rtp/235.254.197.186:7980
广东卫视高清,http://192.168.5.1:1001/rtp/235.254.196.204:1088
北京卫视高清,http://192.168.5.1:1001/rtp/235.254.199.66:7980
北京卫视高清,http://192.168.5.1:1001/rtp/235.254.196.162:8936
东方卫视高清,http://192.168.5.1:1001/rtp/235.254.199.73:7980
东方卫视高清,http://192.168.5.1:1001/rtp/235.254.196.160:8920
浙江卫视高清,http://192.168.5.1:1001/rtp/235.254.199.63:7980
浙江卫视高清,http://192.168.5.1:1001/rtp/235.254.196.205:1092
江苏卫视高清,http://192.168.5.1:1001/rtp/235.254.196.161:8928
江苏卫视高清,http://192.168.5.1:1001/rtp/235.254.199.64:7980
天津卫视高清,http://192.168.5.1:1001/rtp/235.254.199.67:7980
贵州卫视高清,http://192.168.5.1:1001/rtp/235.254.199.185:7980
四川卫视高清,http://192.168.5.1:1001/rtp/235.254.199.175:7980
云南卫视,http://192.168.5.1:1001/rtp/235.254.199.25:7980
广西卫视,http://192.168.5.1:1001/rtp/235.254.199.38:7980
安徽卫视高清,http://192.168.5.1:1001/rtp/235.254.199.65:7980
山西卫视,http://192.168.5.1:1001/rtp/235.254.199.41:7980
江西卫视高清,http://192.168.5.1:1001/rtp/235.254.199.190:7980
海南卫视,http://192.168.5.1:1001/rtp/235.254.199.44:7980
陕西卫视,http://192.168.5.1:1001/rtp/235.254.199.40:7980
东南卫视高清,http://192.168.5.1:1001/rtp/235.254.199.129:7980
吉林卫视,http://192.168.5.1:1001/rtp/235.254.199.39:7980
辽宁卫视高清,http://192.168.5.1:1001/rtp/235.254.199.68:7980
内蒙古卫视,http://192.168.5.1:1001/rtp/235.254.199.42:7980
河南卫视,http://192.168.5.1:1001/rtp/235.254.199.26:7980
河北卫视高清,http://192.168.5.1:1001/rtp/235.254.199.184:7980
宁夏卫视,http://192.168.5.1:1001/rtp/235.254.196.149:8840
宁夏卫视,http://192.168.5.1:1001/rtp/235.254.199.45:7980
甘肃卫视,http://192.168.5.1:1001/rtp/235.254.199.48:7980
甘肃卫视,http://192.168.5.1:1001/rtp/235.254.196.175:8846
兵团卫视,http://192.168.5.1:1001/rtp/235.254.196.171:8908
高清新视觉,http://192.168.5.1:1001/rtp/235.254.196.113:8652
卡酷动画,http://192.168.5.1:1001/rtp/235.254.199.49:7980
金鹰卡通,http://192.168.5.1:1001/rtp/235.254.199.50:7980
嘉佳卡通,http://192.168.5.1:1001/rtp/235.254.199.110:7980
炫动卡通,http://192.168.5.1:1001/rtp/235.254.197.34:7980
CHC动作电影,http://192.168.5.1:1001/rtp/235.254.199.247:7980
CHC高清电影,http://192.168.5.1:1001/rtp/235.254.199.248:7980
CHC家庭影院,http://192.168.5.1:1001/rtp/235.254.199.246:7980
超级影院,http://192.168.5.1:1001/rtp/235.254.196.63:8352
香江影院,http://192.168.5.1:1001/rtp/235.254.196.64:8358
海外影院,http://192.168.5.1:1001/rtp/235.254.196.182:8910
动作影院,http://192.168.5.1:1001/rtp/235.254.196.183:8918
热门剧场,http://192.168.5.1:1001/rtp/235.254.196.66:8370
金庸剧场,http://192.168.5.1:1001/rtp/235.254.196.67:8476
怀旧剧场,http://192.168.5.1:1001/rtp/235.254.196.68:8382
港剧风云,http://192.168.5.1:1001/rtp/235.254.196.69:8388
古装剧场,http://192.168.5.1:1001/rtp/235.254.196.70:8394
正义剧场,http://192.168.5.1:1001/rtp/235.254.196.71:8400
谍战剧场,http://192.168.5.1:1001/rtp/235.254.196.185:8934
游戏风云,http://192.168.5.1:1001/rtp/235.254.197.159:7980



重庆频道,#genre#
重庆卫视高清,http://192.168.5.1:1001/rtp/235.254.197.237:7980
CQTV新闻高清,http://192.168.5.1:1001/rtp/235.254.197.199:7980
重庆影视高清,http://192.168.5.1:1001/rtp/235.254.199.180:7980
CQTV都市高清,http://192.168.5.1:1001/rtp/235.254.199.181:7980
CQTV时尚高清,http://192.168.5.1:1001/rtp/235.254.199.182:7980
CQTV娱乐高清,http://192.168.5.1:1001/rtp/235.254.199.187:7980
CQTV公共农村高清,http://192.168.5.1:1001/rtp/235.254.199.186:7980
CQTV科教高清,http://192.168.5.1:1001/rtp/235.254.199.188:7980
CQTV生活高清,http://192.168.5.1:1001/rtp/235.254.199.189:7980
CQTV汽摩高清,http://192.168.5.1:1001/rtp/235.254.199.169:7980
CQTV少儿高清,http://192.168.5.1:1001/rtp/235.254.199.166:7980
开州综合,http://192.168.5.1:1001/rtp/235.254.199.203:7980
开州综合,http://192.168.5.1:1001/rtp/235.254.198.203:7980
城口综合,http://192.168.5.1:1001/rtp/235.254.199.218:7980
城口综合,http://192.168.5.1:1001/rtp/235.254.198.218:7980
丰都电视台,http://192.168.5.1:1001/rtp/235.254.198.221:7980
丰都综合,http://192.168.5.1:1001/rtp/235.254.199.221:7980
黔江综合,http://192.168.5.1:1001/rtp/235.254.199.233:7980
黔江综合,http://192.168.5.1:1001/rtp/235.254.198.233:7980
石柱综合,http://192.168.5.1:1001/rtp/235.254.199.224:7980
石柱综合,http://192.168.5.1:1001/rtp/235.254.198.224:7980
万州综合,http://192.168.5.1:1001/rtp/235.254.198.200:7980
巫山综合,http://192.168.5.1:1001/rtp/235.254.199.212:7980
巫山综合,http://192.168.5.1:1001/rtp/235.254.198.212:7980
巫溪综合,http://192.168.5.1:1001/rtp/235.254.199.215:7980
巫溪综合,http://192.168.5.1:1001/rtp/235.254.198.215:7980
武隆综合,http://192.168.5.1:1001/rtp/235.254.199.227:7980
武隆综合,http://192.168.5.1:1001/rtp/235.254.198.227:7980
秀山综合,http://192.168.5.1:1001/rtp/235.254.198.239:7980
酉阳综合,http://192.168.5.1:1001/rtp/235.254.199.236:7980
酉阳综合,http://192.168.5.1:1001/rtp/235.254.198.236:7980
开县本地,http://192.168.5.1:1001/rtp/235.254.199.145:7980
开县本地,http://192.168.5.1:1001/rtp/235.254.199.148:7980
