重庆联通,#genre#
 重庆卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000365
 重庆新闻超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000367
 重庆时尚生活超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000369
 重庆文体娱乐超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000370
 重庆影视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000372
 重庆科教超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000373
 重庆少儿超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000374
 重庆社会与法超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000375
 重庆新农村超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000376
 重庆移动超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000384
 重庆汽摩超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000371
 重庆时尚购物超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000366
 ITV导视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000345
 CCTV1,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000231
 CCTV2,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000295
 CCTV3,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000302
 CCTV4,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000342
 CCTV5,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000304
 CCTV5+,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000230
 CCTV6,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000305
 CCTV7,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000290
 CCTV8,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000307
 CCTV9,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000294
 CCTV10,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000293
 CCTV11,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000389
 CCTV12,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000292
 CCTV13,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000387
 CCTV14,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000291
 CCTV15,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000388
 CCTV17,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000346
 CETV-1高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000363
 CETV-4,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000362
 CGTN,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000344
 天津卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000223
 浙江卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000224
 江苏卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000225
 深圳卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000226
 黑龙江卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000227
 湖南卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000228
 北京卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000229
 东方卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000232
 山东卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000261
 安徽卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000296
 四川卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000377
 贵州卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000340
 东南卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000379
 江西卫视超高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000378
 湖北卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000222
 广东卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000221
 辽宁卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000260
 河北卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000341
 吉林卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000390
 海南卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000385
 山西卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000179
 青海卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000182
 甘肃卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000184
 陕西卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000189
 广西卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000191
 河南卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000192
 云南卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000208
 西藏卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000178
 内蒙古卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000180
 新疆卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000181
 宁夏卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000194
 山东教育卫视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000339
 卡酷动画,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000159
 金鹰卡通,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000162
 嘉佳卡通,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000386
 爱上4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000391
 CHC高清电影,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000394
 CHC家庭影院,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000393
 CHC动作电影,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000392
 快乐垂钓,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000382
